alim_grp_code;alim_grp_nom;alim_code;alim_nom;energie_kcal;eau_g_100g;prot_g_100g;gluc_g_100g;lipi_g_100g;sucr_g_100g;fibr_g_100g
02;fruits, légumes, légumineuses et oléagineux;4034;Pomme de terre duchesse, surgelée, cuite;218;51,5;3,44;29,5;8,5;0,4;4,8
02;fruits, légumes, légumineuses et oléagineux;4035;Pomme de terre noisette, surgelée, cuite;191;56,9;2,81;28,5;6,6;0,2;3,4
02;fruits, légumes, légumineuses et oléagineux;4036;Pomme de terre sautée/poêlée à la graisse de canard;213;0;2,54;21,9;12,1;1,59;2,89
02;fruits, légumes, légumineuses et oléagineux;4037;Chips de pommes de terre, à l'ancienne;570;1,4;5,62;49,8;37,6;1,38;4,51
02;fruits, légumes, légumineuses et oléagineux;4038;Chips de pommes de terre et assimilés, allégées en matière grasse;463;1,3;6,58;62,1;19,8;2,49;5,19
02;fruits, légumes, légumineuses et oléagineux;4039;Rostis ou Galette de pomme de terre;183;63,5;2,13;21;9,47;0,68;2,64
01;entrées et plats composés;4041;Aligot (purée de pomme de terre à la tomme fraîche);191;0;8,55;9,5;12,9;0;1,55
02;fruits, légumes, légumineuses et oléagineux;4042;Pomme de terre duchesse, surgelée, crue;178;65,5;2,8;23,2;7,72;0,73;2,13
02;fruits, légumes, légumineuses et oléagineux;4043;Pomme de terre rissolée, surgelée, crue;135;69,1;2,32;20,9;4,2;0,42;2,41
02;fruits, légumes, légumineuses et oléagineux;4044;Frites de pommes de terre, surgelées, pour cuisson rôtie/ au four;154;67,9;2,41;23,4;5,09;0,35;2,58
02;fruits, légumes, légumineuses et oléagineux;4045;Frites de pommes de terre, surgelées, pour cuisson micro0ondes;254;49,5;3,5;34;10,8;0,23;3,83
02;fruits, légumes, légumineuses et oléagineux;4046;Frites de pommes de terre, surgelées, pour cuisson en friteuse;244;0;3,12;29,1;12,1;0,48;3,39
02;fruits, légumes, légumineuses et oléagineux;4047;Pomme de terre, purée (aliment moyen);84,7;79,2;2,15;12,2;2,7;1,76;1,59
02;fruits, légumes, légumineuses et oléagineux;4048;Pomme de terre, cuite (aliment moyen);90,8;78;1,97;17,7;0,9;0,75;1,95
03;produits céréaliers;4090;Fécule de pomme de terre;348;12,7;0;86,3;0,2;0;0,55
02;fruits, légumes, légumineuses et oléagineux;4101;Patate douce, crue;86,3;78,8;1,51;18,3;0,15;5,64;2,87
02;fruits, légumes, légumineuses et oléagineux;4102;Patate douce, cuite;62,8;78;1,69;12,2;0,15;6,11;2,9
